iter	Passed	Remaining
0	140	139931
1	142	71064
2	144	47938
3	146	36371
4	148	29501
5	149	24807
6	151	21504
7	153	19033
8	155	17102
9	157	15548
10	159	14316
11	161	13256
12	162	12338
13	164	11561
14	166	10925
15	168	10348
16	169	9826
17	171	9342
18	172	8887
19	173	8478
20	173	8107
21	174	7774
22	176	7477
23	176	7197
24	178	6944
25	179	6709
26	180	6491
27	181	6299
28	182	6112
29	183	5945
30	184	5777
31	185	5615
32	186	5464
33	187	5320
34	188	5183
35	188	5059
36	189	4939
37	190	4823
38	191	4709
39	191	4601
40	192	4499
41	192	4400
42	193	4307
43	194	4218
44	194	4132
45	195	4052
46	196	3977
47	196	3904
48	197	3834
49	198	3767
50	198	3701
51	199	3638
52	200	3576
53	200	3517
54	201	3460
55	202	3407
56	202	3355
57	203	3311
58	204	3262
59	205	3214
60	205	3167
61	206	3121
62	206	3077
63	207	3033
64	207	2991
65	208	2950
66	209	2910
67	209	2868
68	209	2831
69	210	2794
70	210	2759
71	211	2725
72	211	2691
73	212	2659
74	213	2629
75	213	2598
76	214	2568
77	214	2539
78	215	2511
79	215	2483
80	216	2456
81	217	2429
82	217	2403
83	218	2379
84	218	2352
85	219	2328
86	219	2303
87	220	2280
88	220	2257
89	221	2236
90	221	2215
91	222	2194
92	222	2173
93	223	2154
94	224	2134
95	224	2114
96	225	2095
97	225	2076
98	226	2058
99	226	2040
100	227	2023
101	227	2003
102	228	1986
103	228	1970
104	229	1953
105	229	1937
106	230	1922
107	230	1906
108	231	1891
109	231	1876
110	232	1861
111	233	1847
112	233	1833
113	234	1819
114	234	1805
115	235	1791
116	235	1778
117	236	1765
118	236	1751
119	237	1739
120	237	1726
121	238	1714
122	238	1700
123	239	1689
124	239	1677
125	240	1665
126	240	1654
127	241	1642
128	241	1631
129	242	1620
130	242	1610
131	243	1599
132	243	1589
133	244	1578
134	244	1568
135	245	1558
136	245	1549
137	246	1538
138	246	1529
139	247	1520
140	247	1510
141	248	1501
142	249	1492
143	249	1483
144	250	1474
145	250	1466
146	251	1458
147	251	1449
148	252	1441
149	252	1433
150	253	1424
151	253	1416
152	254	1408
153	255	1401
154	255	1393
155	256	1385
156	256	1378
157	257	1370
158	257	1363
159	258	1355
160	258	1348
161	259	1341
162	259	1334
163	260	1328
164	261	1321
165	261	1315
166	262	1308
167	262	1301
168	263	1295
169	263	1288
170	264	1282
171	265	1276
172	265	1269
173	266	1263
174	266	1257
175	267	1251
176	267	1245
177	268	1239
178	269	1234
179	270	1230
180	270	1223
181	270	1217
182	271	1212
183	272	1206
184	272	1201
185	273	1195
186	273	1190
187	274	1185
188	274	1179
189	275	1174
190	276	1169
191	276	1164
192	277	1158
193	277	1154
194	278	1148
195	278	1143
196	279	1138
197	279	1133
198	280	1128
199	280	1123
200	281	1118
201	281	1113
202	282	1109
203	283	1104
204	283	1099
205	284	1095
206	284	1090
207	285	1086
208	285	1081
209	286	1077
210	286	1072
211	287	1068
212	288	1064
213	288	1060
214	289	1056
215	289	1051
216	290	1047
217	291	1044
218	291	1040
219	292	1036
220	293	1033
221	294	1030
222	294	1026
223	295	1023
224	296	1021
225	297	1018
226	297	1014
227	298	1010
228	299	1007
229	299	1003
230	300	999
231	300	995
232	301	991
233	301	988
234	302	984
235	303	981
236	303	977
237	304	974
238	304	971
239	305	967
240	306	964
241	306	960
242	307	957
243	307	953
244	308	950
245	309	947
246	309	943
247	310	940
248	310	937
249	311	933
250	311	930
251	312	927
252	313	924
253	313	922
254	314	919
255	315	916
256	315	913
257	316	910
258	317	907
259	317	904
260	318	901
261	318	897
262	319	894
263	319	891
264	320	888
265	321	885
266	321	882
267	322	879
268	322	876
269	323	873
270	323	870
271	324	868
272	324	865
273	325	862
274	325	859
275	326	856
276	327	853
277	327	851
278	328	848
279	329	846
280	329	843
281	330	840
282	330	837
283	331	835
284	331	832
285	332	829
286	332	827
287	333	824
288	333	821
289	334	819
290	335	816
291	335	813
292	336	811
293	336	808
294	337	806
295	337	803
296	338	801
297	338	798
298	339	795
299	340	793
300	340	790
301	341	788
302	341	786
303	342	784
304	343	781
305	343	779
306	344	777
307	344	774
308	345	772
309	345	769
310	346	767
311	346	765
312	347	762
313	348	760
