iter	Passed	Remaining
0	170	170661
1	174	86888
2	175	58425
3	176	44059
4	179	35661
5	180	29923
6	182	25884
7	184	22844
8	185	20444
9	187	18535
10	190	17154
11	192	15818
12	193	14699
13	195	13743
14	197	12976
15	199	12244
16	201	11656
17	202	11064
18	204	10583
19	206	10111
20	208	9711
21	209	9318
22	210	8942
23	211	8600
24	212	8302
25	213	8013
26	214	7734
27	217	7536
28	218	7327
29	220	7115
30	221	6910
31	221	6712
32	222	6527
33	223	6350
34	224	6194
35	225	6046
36	226	5900
37	228	5776
38	229	5650
39	231	5547
40	232	5437
41	233	5333
42	235	5234
43	236	5142
44	238	5054
45	238	4955
46	240	4873
47	241	4790
48	242	4712
49	244	4639
50	245	4566
51	246	4500
52	248	4435
53	249	4369
54	250	4312
55	252	4257
56	254	4204
57	255	4151
58	257	4102
59	259	4058
60	260	4012
61	262	3969
62	264	3929
63	266	3891
64	267	3854
65	269	3813
66	270	3772
67	272	3738
68	274	3704
69	275	3664
70	276	3622
71	278	3586
72	279	3550
73	280	3510
74	281	3470
75	282	3435
76	283	3404
77	285	3370
78	286	3343
79	287	3311
80	289	3284
81	290	3250
82	290	3214
83	292	3186
84	293	3160
85	295	3137
86	296	3111
87	297	3086
88	299	3062
89	301	3045
90	303	3027
91	303	3000
92	305	2977
93	306	2956
94	307	2933
95	309	2912
96	310	2891
97	311	2871
98	313	2852
99	315	2843
100	317	2826
101	318	2805
102	320	2787
103	321	2765
104	322	2747
105	323	2726
106	325	2713
107	326	2697
108	327	2677
109	328	2658
110	329	2642
111	331	2628
112	332	2613
113	334	2598
114	335	2583
115	337	2573
116	340	2567
117	341	2552
118	342	2533
119	343	2518
120	345	2508
121	346	2496
122	348	2483
123	349	2471
124	351	2459
125	353	2452
126	354	2437
127	355	2424
128	358	2420
129	359	2408
130	361	2396
131	362	2382
132	363	2366
133	364	2353
134	365	2340
135	366	2330
136	367	2316
137	368	2302
138	369	2290
139	371	2279
140	372	2269
141	373	2259
142	375	2247
143	376	2237
144	378	2231
145	379	2220
146	380	2208
147	381	2197
148	382	2184
149	383	2174
150	386	2175
151	388	2168
152	390	2161
153	391	2151
154	392	2142
155	394	2135
156	396	2127
157	397	2120
158	399	2113
159	401	2107
160	402	2099
161	405	2096
162	407	2093
163	409	2088
164	411	2080
165	412	2071
166	413	2063
167	415	2057
168	417	2051
169	418	2043
170	419	2033
171	420	2026
172	421	2015
173	422	2006
174	424	1999
175	425	1991
176	426	1984
177	428	1977
178	430	1973
179	431	1967
180	433	1960
181	434	1953
182	436	1946
183	437	1939
184	438	1932
185	439	1923
186	440	1917
187	442	1909
